brand,model,year,mileage,capacity,power,price,type
Honda,NT,2025.0,1.0,10843.0,102.0,68800.0,Motorcycle
Honda,NT,2025.0,1.0,10843.0,102.0,59800.0,Motorcycle
HISUN,Guardian 550,2026.0,1.0,5503.0,37.0,29900.0,Motorcycle
BMW,C 400 GT,2025.0,1.0,3503.0,34.0,41000.0,Motorcycle
Zontes,125 G1 Spoke,2025.0,1.0,1253.0,15.0,16799.0,Motorcycle
Zontes,125 G1 Aluminium,2025.0,1.0,1253.0,15.0,15499.0,Motorcycle
Kymco,MXU,2026.0,1.0,6953.0,44.0,37990.0,Motorcycle
Zontes,125U,2025.0,1.0,1253.0,15.0,13999.0,Motorcycle
Zipp,Inny,2026.0,1.0,1203.0,7.0,4499.0,Motorcycle
BMW,GS,2026.0,1.0,8953.0,105.0,72900.0,Motorcycle
MRF,Inny,2025.0,1.0,1403.0,0.0,5889.0,Motorcycle
ASIX,XB-88 250cc,2025.0,1.0,2503.0,0.0,7999.0,Motorcycle
KAYO,K2,2025.0,1.0,2503.0,0.0,7789.0,Motorcycle
CFMoto,CForce,2026.0,1.0,5003.0,40.0,29900.0,Motorcycle
KAYO,Inny,2026.0,1.0,1403.0,0.0,6499.0,Motorcycle
KAYO,Inny,2026.0,1.0,703.0,0.0,3499.0,Motorcycle
KAYO,K2 PRO,2026.0,1.0,2493.0,0.0,8999.0,Motorcycle
Barton,Inny,2025.0,1.0,1253.0,0.0,4899.0,Motorcycle
Barton,Raptor,2025.0,1.0,1253.0,0.0,5499.0,Motorcycle
Barton,Inny,2025.0,1.0,1253.0,0.0,5600.0,Motorcycle
Barton,Raze,2025.0,1.0,2003.0,0.0,8699.0,Motorcycle
Talaria,Sting L1e,2026.0,1.0,0.0,24.0,34900.0,Motorcycle
CFMoto,CForce,2025.0,1.0,8003.0,75.0,42900.0,Motorcycle
Zipp,Inny,2026.0,1.0,1203.0,7.0,4299.0,Motorcycle
Barton,NXT,2025.0,1.0,1503.0,12.0,5699.0,Motorcycle
Piaggio,Liberty,2026.0,1.0,1253.0,11.0,11990.0,Motorcycle
KOVE,800X Touring,2026.0,1.0,7993.0,95.0,42900.0,Motorcycle
Honda,CMX,2026.0,1.0,4713.0,47.0,30500.0,Motorcycle
