brand,model,year,mileage,capacity,power,price,type
BMW,R,2017.0,12883.0,11703.0,110.0,46890.0,Motorcycle
BMW,GS,2019.0,17694.0,12503.0,136.0,66900.0,Motorcycle
Yamaha,MT,2024.0,6739.0,0.0,0.0,37800.0,Motorcycle
Kawasaki,Z,2019.0,18000.0,1253.0,15.0,13999.0,Motorcycle
BMW,R,1997.0,35028.0,11703.0,61.0,26900.0,Motorcycle
Honda,VFR,1999.0,61400.0,8003.0,110.0,9500.0,Motorcycle
Ducati,Diavel,2023.0,1919.0,12623.0,160.0,89900.0,Motorcycle
Segway,Snarler AT6,2026.0,1.0,5703.0,44.0,29900.0,Motorcycle
Daytona,Dymoto 125 X,2026.0,1.0,1253.0,14.0,15999.0,Motorcycle
ASIX,Challanger 300,2026.0,1.0,2703.0,0.0,15999.0,Motorcycle
Junak,RAW 125,2024.0,1.0,1253.0,12.0,8499.0,Motorcycle
VOGE,SR1,2024.0,1.0,1253.0,12.0,11999.0,Motorcycle
Kawasaki,Versys 650,2024.0,3835.0,6493.0,67.0,34900.0,Motorcycle
Suzuki,GSR,2006.0,20345.0,0.0,0.0,14800.0,Motorcycle
Harley-Davidson,Pan America,2022.0,2700.0,12523.0,150.0,62499.0,Motorcycle
KTM,Duke,2026.0,1.0,7993.0,95.0,39899.0,Motorcycle
Honda,Transalp,2026.0,1.0,7503.0,92.0,47600.0,Motorcycle
Honda,CB,2025.0,1.0,10003.0,152.0,41300.0,Motorcycle
Honda,CB,2025.0,1.0,1243.0,11.0,14500.0,Motorcycle
Honda,CMX,2025.0,1.0,10843.0,87.0,43900.0,Motorcycle
Honda,ADV350,2022.0,29615.0,3303.0,29.0,18900.0,Motorcycle
Honda,CMX,2025.0,1.0,10843.0,87.0,48700.0,Motorcycle
Kawasaki,Ninja H2 SX,2022.0,46375.0,9983.0,200.0,79900.0,Motorcycle
Can-Am,Outlander,2026.0,1.0,9993.0,101.0,103900.0,Motorcycle
Honda,CB,2025.0,1.0,10003.0,124.0,54000.0,Motorcycle
